Neighborhood,N_Crimes,Pct_Black,Pct_White,Median_Income,Poverty_Rate,Race_Category
LAURAVILLE,528,0.6,0.3,52000.0,0.12,Black
REMINGTON,518,0.22,0.65,55000.0,0.13,White
SETON HILL,518,0.58,0.32,38000.0,0.26,Black
NORTHWEST COMMUNITY ACTION,514,0.63,0.28,52000.0,0.22,Black
BRIDGEVIEW/GREENLAWN,506,0.63,0.28,52000.0,0.22,Black
GREENMOUNT WEST,494,0.63,0.28,52000.0,0.22,Black
MIDTOWN-EDMONDSON,480,0.63,0.28,52000.0,0.22,Black
PARK CIRCLE,479,0.63,0.28,52000.0,0.22,Black
GREENSPRING,475,0.63,0.28,52000.0,0.22,Black
UNIVERSITY OF MARYLAND,475,0.63,0.28,52000.0,0.22,Black
BEECHFIELD,473,0.63,0.2800000000000001,52000.0,0.22,Black
PATTERSON PLACE,472,0.88,0.06,31000.0,0.33,Black
DORCHESTER,466,0.63,0.28,52000.0,0.22,Black
PEN LUCY,466,0.75,0.15,44000.0,0.19,Black
WESTFIELD,461,0.63,0.28,52000.0,0.22,Black
PENN-FALLSWAY,459,0.63,0.28,52000.0,0.22,Black
SAINT JOSEPHS,458,0.63,0.28,52000.0,0.22,Black
MOSHER,449,0.9300000000000002,0.03,26500.0,0.39,Black
FALLSTAFF,446,0.63,0.28,52000.0,0.22,Black
MOUNT HOLLY,437,0.63,0.28,52000.0,0.22,Black
MOUNT WASHINGTON,431,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black
GLEN OAKS,426,0.63,0.28,52000.0,0.22,Black
OLD GOUCHER,426,0.63,0.28,52000.0,0.22,Black
FRANKLINTOWN ROAD,426,0.63,0.28,52000.0,0.22,Black
SOUTH BALTIMORE,420,0.1,0.82,72000.0,0.09,White
DOLFIELD,419,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black
PARKVIEW/WOODBROOK,419,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black
GWYNNS FALLS,418,0.6299999999999999,0.28,52000.0,0.21999999999999997,Black
ROGNEL HEIGHTS,414,0.63,0.28,52000.0,0.22,Black
WEST ARLINGTON,409,0.63,0.28,52000.0,0.22,Black
ROSEMONT HOMEOWNERS/TENANTS,392,0.89,0.04,34000.0,0.3,Black
SOUTH CLIFTON PARK,386,0.89,0.05,31000.0,0.33,Black
YALE HEIGHTS,385,0.63,0.28,52000.0,0.22,Black
WEST FOREST PARK,385,0.63,0.28,52000.0,0.22,Black
BAYVIEW,385,0.63,0.28,52000.0,0.22,Black
WESTGATE,384,0.9,0.04,34000.0,0.3,Black
HARWOOD,383,0.42,0.45,52000.0,0.15,Neither
WESTPORT,381,0.8499999999999999,0.08,30000.0,0.35,Black
CARROLL-SOUTH HILTON,380,0.63,0.28,52000.0,0.21999999999999997,Black
EASTERWOOD,376,0.63,0.28,52000.0,0.22,Black
CYLBURN,376,0.63,0.28,52000.0,0.22,Black
PARKSIDE,375,0.83,0.1,43000.0,0.19,Black
BROENING MANOR,374,0.63,0.28,52000.0,0.22,Black
ROLAND PARK,373,0.05,0.88,115000.0,0.03,White
ASHBURTON,369,0.63,0.28,52000.0,0.22000000000000003,Black
HILLEN,360,0.63,0.28,52000.0,0.22,Black
CEDONIA,358,0.72,0.18,47000.0,0.16,Black
PIMLICO GOOD NEIGHBORS,350,0.63,0.28,52000.0,0.22,Black
ABELL,349,0.19999999999999998,0.68,58000.0,0.11999999999999998,White
BREWERS HILL,347,0.63,0.28,52000.0,0.22,Black
GROVE PARK,345,0.63,0.28,52000.0,0.22000000000000003,Black
CALLAWAY-GARRISON,340,0.63,0.28,52000.0,0.22,Black
PARKLANE,336,0.63,0.28,52000.0,0.22,Black
UNION SQUARE,329,0.63,0.28,52000.0,0.21999999999999997,Black
CHESWOLDE,326,0.63,0.28,52000.0,0.22,Black
FOREST PARK,318,0.8799999999999999,0.05,38000.0,0.25,Black
CROSS COUNTRY,317,0.63,0.28,52000.0,0.21999999999999997,Black
HOMELAND,317,0.08,0.82,108000.0,0.04,White
TOWANDA-GRANTLEY,312,0.63,0.28,52000.0,0.22,Black
PERKINS HOMES,310,0.63,0.28,52000.0,0.22,Black
HUNTING RIDGE,306,0.63,0.28,52000.0,0.22000000000000003,Black
CLIFTON PARK,304,0.89,0.05,31000.0,0.33,Black
LIBERTY SQUARE,302,0.63,0.28,52000.0,0.22,Black
WINDSOR HILLS,299,0.63,0.28,52000.0,0.22,Black
EAST ARLINGTON,292,0.63,0.28,52000.0,0.21999999999999997,Black
FOUR BY FOUR,290,0.63,0.28,52000.0,0.22,Black
PERRING LOCH,280,0.63,0.28,52000.0,0.22,Black
CENTRAL FOREST PARK,275,0.63,0.28,52000.0,0.22,Black
GUILFORD,275,0.12,0.78,98000.0,0.04,White
GARWYN OAKS,268,0.63,0.28,52000.0,0.22,Black
ORCHARD RIDGE,266,0.63,0.28,52000.0,0.22,Black
BIDDLE STREET,265,0.63,0.28,52000.0,0.22,Black
ROSEMONT EAST,264,0.89,0.04,34000.0,0.3,Black
DARLEY PARK,263,0.63,0.28,52000.0,0.22,Black
MEDFIELD,255,0.12,0.75,71000.0,0.08,White
LEVINDALE,255,0.63,0.28,52000.0,0.22,Black
OTTERBEIN,253,0.08,0.85,88000.0,0.05,White
CAMERON VILLAGE,252,0.63,0.28,52000.0,0.22,Black
HERITAGE CROSSING,252,0.63,0.28,52000.0,0.22,Black
WINCHESTER,250,0.97,0.01,28500.0,0.38,Black
ORANGEVILLE,250,0.63,0.28,52000.0,0.22,Black
LANGSTON HUGHES,247,0.63,0.28,52000.0,0.22,Black
KRESSON,246,0.63,0.28,52000.0,0.22,Black
WAKEFIELD,244,0.63,0.28,52000.0,0.22,Black
TEN HILLS,243,0.63,0.28,52000.0,0.22,Black
CONCERNED CITIZENS OF FOREST PARK,236,0.9,0.04,30000.0,0.34,Black
WINSTON-GOVANS,232,0.62,0.28,50000.0,0.15,Black
WOODBERRY,230,0.63,0.28,52000.0,0.22,Black
RAMBLEWOOD,229,0.52,0.36,53000.0,0.15,Black
LITTLE ITALY,227,0.63,0.28,52000.0,0.22,Black
BOYD-BOOTH,226,0.63,0.28,52000.0,0.22,Black
MID-GOVANS,224,0.62,0.28,50000.0,0.15,Black
IDLEWOOD,223,0.63,0.28,52000.0,0.22,Black
MIDDLE BRANCH/REEDBIRD PARKS,223,0.63,0.28,52000.0,0.22,Black
HOPKINS BAYVIEW,222,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black
WEST HILLS,221,0.63,0.28,52000.0,0.22,Black
FAIRFIELD AREA,218,0.63,0.28,52000.0,0.22,Black
SHARP-LEADENHALL,218,0.55,0.35,45000.0,0.19,Black
MEDFORD,217,0.63,0.28,52000.0,0.22,Black
SETON BUSINESS PARK,215,0.6299999999999999,0.28,52000.0,0.21999999999999997,Black
COLDSPRING,214,0.63,0.28,52000.0,0.22,Black
RIDGELY'S DELIGHT,213,0.08,0.8499999999999999,85000.0,0.06,White
WOODBOURNE HEIGHTS,209,0.6299999999999999,0.28,52000.0,0.21999999999999997,Black
OAKENSHAWE,207,0.63,0.28,52000.0,0.22,Black
PLEASANT VIEW GARDENS,206,0.63,0.28,52000.0,0.22,Black
PANWAY/BRADDISH AVENUE,201,0.63,0.28,52000.0,0.22,Black
KENILWORTH PARK,200,0.63,0.28,52000.0,0.22,Black
O'DONNELL HEIGHTS,199,0.38,0.48,46000.0,0.17000000000000004,Neither
WYMAN PARK,181,0.63,0.28,52000.0,0.22,Black
WOODBOURNE-MCCABE,178,0.63,0.28,52000.0,0.22000000000000003,Black
EVERGREEN LAWN,175,0.63,0.28,52000.0,0.22,Black
LOCUST POINT,172,0.049999999999999996,0.8800000000000001,79000.0,0.060000000000000005,White
HOES HEIGHTS,172,0.63,0.28,52000.0,0.22000000000000003,Black
WILHELM PARK,171,0.63,0.28,52000.0,0.21999999999999997,Black
CHINQUAPIN PARK,170,0.41999999999999993,0.45,56000.0,0.14,Neither
LOWER EDMONDSON VILLAGE,168,0.9099999999999999,0.03,36000.0,0.28,Black
SAINT AGNES,166,0.63,0.28,52000.0,0.22000000000000003,Black
LUCILLE PARK,162,0.63,0.28,52000.0,0.22,Black
UPLANDS,161,0.63,0.28,52000.0,0.22,Black
FRANKLINTOWN,158,0.63,0.28,52000.0,0.22,Black
RADNOR-WINSTON,158,0.63,0.28,52000.0,0.22,Black
ARCADIA,158,0.63,0.28,52000.0,0.22,Black
ORIGINAL NORTHWOOD,156,0.45,0.42,58000.0,0.13,Neither
ROSEBANK,154,0.63,0.28,52000.0,0.22000000000000003,Black
UNKNOWN,153,0.63,0.28,52000.0,0.22000000000000003,Black
ORANGEVILLE INDUSTRIAL AREA,152,0.63,0.28,52000.0,0.21999999999999997,Black
LAKE WALKER,151,0.55,0.35,55000.0,0.13,Black
MAYFIELD,149,0.63,0.28,52000.0,0.22,Black
LOCUST POINT INDUSTRIAL AREA,146,0.05,0.8799999999999999,79000.0,0.06,White
WILSON PARK,146,0.87,0.06,36000.0,0.27,Black
BELVEDERE,143,0.63,0.28,52000.0,0.22,Black
BURLEITH-LEIGHTON,136,0.63,0.28,52000.0,0.22,Black
PATTERSON PARK,132,0.18,0.68,60000.0,0.11,White
RICHNOR SPRINGS,132,0.63,0.28,52000.0,0.22,Black
FAIRMONT,129,0.63,0.28,52000.0,0.22,Black
BARRE CIRCLE,128,0.65,0.25,45000.0,0.18,Black
MOUNT WINANS,127,0.63,0.28,52000.0,0.22,Black
CARROLL PARK,124,0.63,0.28,52000.0,0.22,Black
TREMONT,120,0.63,0.28,52000.0,0.22,Black
SAINT HELENA,117,0.6299999999999999,0.28,52000.0,0.21999999999999997,Black
OAKLEE,114,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black
TUSCANY-CANTERBURY,112,0.63,0.28,52000.0,0.22,Black
MORAVIA-WALTHER,111,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black
MORGAN STATE UNIVERSITY,111,0.6300000000000001,0.28,52000.0,0.22000000000000003,Black
STADIUM AREA,110,0.63,0.28,52000.0,0.22,Black
KERNEWOOD,105,0.63,0.28,52000.0,0.22,Black
DRUID HILL PARK,103,0.63,0.28,52000.0,0.22,Black
BEVERLY HILLS,97,0.63,0.28,52000.0,0.22,Black
STONEWOOD-PENTWOOD-WINSTON,96,0.63,0.28,52000.0,0.22,Black
WRENLANE,95,0.63,0.28,52000.0,0.21999999999999997,Black
JONES FALLS AREA,89,0.63,0.28,52000.0,0.22000000000000003,Black
BELAIR-PARKSIDE,85,0.83,0.1,43000.0,0.18999999999999997,Black
NORTH ROLAND PARK/POPLAR HILL,83,0.05,0.8800000000000001,115000.0,0.03,White
CROSS KEYS,83,0.63,0.28,52000.0,0.22000000000000003,Black
SABINA-MATTFELDT,82,0.63,0.28,52000.0,0.22,Black
EVESHAM PARK,81,0.63,0.28,52000.0,0.22,Black
OVERLEA,81,0.63,0.28,52000.0,0.22,Black
WYNDHURST,79,0.63,0.28,52000.0,0.22,Black
PURNELL,74,0.63,0.28,52000.0,0.22000000000000003,Black
CEDARCROFT,68,0.63,0.28,52000.0,0.22,Black
HOLABIRD INDUSTRIAL PARK,67,0.63,0.28,52000.0,0.22,Black
MONTEBELLO,63,0.63,0.28,52000.0,0.22,Black
JOHNS HOPKINS HOMEWOOD,62,0.63,0.28,52000.0,0.22,Black
EASTWOOD,60,0.63,0.28,52000.0,0.22,Black
LAKE EVESHAM,58,0.63,0.28,52000.0,0.22,Black
YORK-HOMELAND,47,0.08,0.82,108000.0,0.04,White
EVERGREEN,47,0.63,0.28,52000.0,0.22,Black
HAWKINS POINT,45,0.63,0.28,52000.0,0.22,Black
SAINT PAUL,44,0.63,0.28,52000.0,0.22,Black
FOREST PARK GOLF COURSE,41,0.63,0.28,52000.0,0.22,Black
DICKEYVILLE,41,0.63,0.28,52000.0,0.22,Black
KESWICK,40,0.63,0.28,52000.0,0.22000000000000003,Black
CURTIS BAY INDUSTRIAL AREA,35,0.45,0.38,35000.0,0.28,Neither
MORGAN PARK,33,0.85,0.08,45000.0,0.17,Black
GWYNNS FALLS/LEAKIN PARK,33,0.63,0.28,52000.0,0.22,Black
LOYOLA/NOTRE DAME,32,0.63,0.28,52000.0,0.22,Black
HERRING RUN PARK,28,0.63,0.28,52000.0,0.22,Black
BELLONA-GITTINGS,27,0.63,0.28,52000.0,0.22,Black
THE ORCHARDS,27,0.63,0.28,52000.0,0.22,Black
SPRING GARDEN INDUSTRIAL AREA,27,0.63,0.28,52000.0,0.22,Black
LOWER HERRING RUN PARK,24,0.63,0.28,52000.0,0.22,Black
TAYLOR HEIGHTS,23,0.63,0.28,52000.0,0.21999999999999997,Black
MT PLEASANT PARK,13,0.63,0.28,52000.0,0.22,Black
PORT COVINGTON,13,0.63,0.28,52000.0,0.22,Black
GREENMOUNT CEMETERY,13,0.63,0.28,52000.0,0.22,Black
VILLAGES OF HOMELAND,11,0.08,0.82,108000.0,0.04,White
BLYTHEWOOD,5,0.63,0.28,52000.0,0.22000000000000003,Black
DUNDALK MARINE TERMINAL,1,0.63,0.28,52000.0,0.22,Black
